Home,Away,Stronger Team,Your Team,Home Formation,Away Formation,Home Style of play,Home Marking,Home Offside trap,Home Tackling,Away Style of play,Away Marking,Away Offside trap,Away Tackling,Home Training Camp,Away Training Camp,Line Tactic-FW,Line Tactic-MF,Line Tactic-DF,Pressing,Style,Tempo,Home Posession,Away Possesion,Home Goals,Away Goals,Home Shots,Away Shots,TIP,Result,Your Result
PSIS,Borneo,Home,Home,3-3-4 B,3-3-4 A,Wing play,Zonal marking,No,Careful,Long ball,Zonal marking,Yes,Normal,No,No,Attack only,Push Forward,Defend deep,77,78,78,61,39,1,0,19,6,,Home Wins,You Won
Getafe,Osasuna,Away,Away,3-3-4 A,3-3-4 B,Long ball,Zonal marking,Yes,Normal,Wing play,Zonal marking,No,Careful,No,No,Attack only,Push Forward,Defend deep,82,78,77,30,70,0,2,7,16,,Away Wins,You won
Preston North End,Swansea,Away,Away,4-5-1,4-2-3-1,Counter-attack,Man marking,No,Normal,Wing play,Zonal marking,Yes,Normal,No,No,Attack only,Push Forward,Defend deep,73,71,71,38,62,0,1,5,10,,Away Wins,You won
VfB Stuttgart,Schalke,Home,Away,4-2-3-1,6-3-1 B,Shoot on sight,Zonal marking,No,Aggresive,Counter-attack,Zonal marking,No,Normal,No,No,Attack only,Push Forward,Defend deep,62,58,73,42,58,0,1,4,8,,Away Wins,You won
Almeria,Osasuna,Away,Away,4-2-3-1,6-3-1 B,Shoot on sight,Zonal marking,No,Aggresive,Shoot on sight,Zonal marking,No,Aggresive,No,No,Attack only,Push Forward,Defend deep,73,75,77,31,69,0,5,3,11,Well played by the team and the manager. A win and dictating possession!,Away Wins,You won
Barito Putera,PSIS,Away,Away,3-3-4 A,3-3-4 B,Long ball,Zonal marking,Yes,Normal,Wing play,Zonal marking,No,Careful,No,No,Attack only,Stay in position,Defend deep,73,78,76,30,70,0,5,7,17,,Away Wins,You won
Middlesbrough,Swansea,Away,Away,3-3-2-2,4-4-2 B,Shoot on sight,Zonal marking,Yes,Normal,Passing game,Zonal marking,No,Careful,No,No,Attack only,Stay in position,Defend deep,73,71,71,31,69,0,4,3,11,,Away Wins,You won
1. FC Koln,Schalke,Away,Away,3-3-2-2,4-4-2 B,Shoot on sight,Zonal marking,Yes,Normal,Passing game,Zonal marking,No,Normal,No,No,Attack only,Stay in position,Defend deep,71,71,73,30,70,0,2,4,12,,Away Wins,You won
Osasuna,Rayo Vallecano,Home,Home,4-2-3-1,4-5-1,Wing play,Zonal marking,Yes,Careful,Counter-attack,Man marking,No,Normal,No,No,Attack only,Push Forward,Defend deep,76,77,76,64,36,4,0,11,3,,Home Wins,You Won
PSIS,Bali United,Home,Home,4-2-3-1,4-5-1,Wing play,Zonal marking,Yes,Normal,Long ball,Zonal marking,No,Aggresive,No,No,Attack only,Push Forward,Defend deep,78,78,78,61,39,1,0,16,1,Choosing Zonal marking was the right choice against this opponent. Good call!,Home Wins,You Won
Swansea,Burnley,Home,Home,4-3-3 B,4-4-2 B,Wing play,Zonal marking,No,Normal,Wing play,Zonal marking,No,Aggresive,No,No,Attack only,Stay in position,Defend deep,58,67,58,63,37,3,0,18,5,That Style of play really linked with the Formation. Good combination if you ask me!,Home Wins,You Won
Schalke,Monchengladbach,Home,Home,4-3-3 A,4-3-3 B,Shoot on sight,Zonal marking,No,Aggresive,Shoot on sight,Zonal marking,No,Aggresive,No,No,Attack only,Stay in position,Defend deep,64,68,53,61,39,1,0,13,5,"This is how I like my football! A lot of good chances and the win, beautiful!",Home Wins,You Won
Villareal,Osasuna,Away,Away,3-3-4 A,3-3-4 B,Long ball,Zonal marking,Yes,Normal,Wing play,Zonal marking,No,Aggresive,No,No,Attack only,Stay in position,Defend deep,73,78,76,30,70,0,3,7,16,,Away Wins,You won
