strength,opponent_formation,opponent_style_of_play,opponent_marking,opponent_offside_trap,opponent_tackling,opponent_training_camp,formation,style_of_play,marking,offside_trap,tackling,training_camp,line_tactic_FW,line_tactic_MF,line_tactic_DF,pressing,style,tempo,goals,opponent_goals,goal_diff,posession,opponent_posession,shots,opponent_shots,result
strong,4-4-2 b,wing play,man marking,no,normal,no,4-3-3 b,wing play,zonal marking,no,aggresive,no,attack only,stay in position,defend deep,75,75,75,9,0,9,70,30,20,5,won
strong,4-4-2 b,wing play,man marking,no,normal,no,4-3-3 b,wing play,zonal marking,no,aggresive,no,attack only,stay in position,defend deep,75,75,75,3,0,3,70,30,19,6,won
weak,4-3-3 b,shoot on sight,zonal marking,no,aggresive,no,4-2-3-1,shoot on sight,man marking,yes,careful,no,attack only,protect the defence,defend deep,55,46,39,1,1,0,53,47,11,10,draw
strong,3-4-3 a,shoot on sight,zonal marking,yes,normal,no,3-5-2,shoot on sight,man marking,yes,aggresive,no,attack only,push forward,defend deep,60,50,55,6,0,6,66,34,13,1,won
strong,4-4-2 b,wing play,man marking,no,normal,no,4-3-3 b,wing play,zonal marking,no,normal,no,attack only,stay in position,defend deep,75,75,75,5,1,4,71,29,19,5,won
strong,3-3-4 a,long ball,zonal marking,yes,normal,no,4-3-3 b,wing play,zonal marking,no,normal,no,attack only,stay in position,defend deep,75,75,75,2,1,1,62,38,18,4,won
equal,4-4-2 b,shoot on sight,zonal marking,no,aggresive,no,4-3-3 b,wing play,zonal marking,no,aggresive,no,attack only,stay in position,defend deep,75,75,75,5,0,5,56,44,12,10,won
strong,5-2-3 a,shoot on sight,zonal marking,no,aggresive,no,4-4-2 b,passing game,zonal marking,no,aggresive,no,attack only,stay in position,defend deep,75,75,75,2,0,2,70,30,12,5,won
strong,4-4-2 b,wing play,man marking,no,normal,no,4-3-3 b,wing play,zonal marking,no,careful,no,attack only,stay in position,defend deep,75,75,75,5,0,5,65,35,15,8,won
strong,4-5-1,counter-attack,man marking,no,normal,no,4-2-3-1,wing play,zonal marking,yes,normal,no,attack only,push forward,defend deep,75,75,75,4,0,4,70,30,12,3,won
